Year	Month	Platform	Listeners
2018	1	Web	8149978.571
2018	1	Amazon	2472909.286
2018	1	Android	18729467.14
2018	1	All_Other	5054553.571
2018	1	iOS	27802882.86
2018	1	Roku	2077890
2018	2	Web	11238439.29
2018	2	Roku	2415880.714
2018	2	Amazon	3226844.286
2018	2	Android	21896154.29
2018	2	All_Other	6563914.286
2018	2	iOS	31529992.86
2018	3	All_Other	7879379.286
2018	3	iOS	34529992.86
2018	3	Android	24591131.43
2018	3	Amazon	3892097.143
2018	3	Web	13861223.57
2018	3	Roku	2658017.143
2018	4	Android	26444022.14
2018	4	All_Other	8833298.571
2018	4	Web	16052011.43
2018	4	Roku	2842047.143
2018	4	Amazon	4376232.857
2018	4	iOS	36459852.86
2018	5	Web	18183360.71
2018	5	Roku	2985449.286
2018	5	Android	28227210.71
2018	5	iOS	38191819.29
2018	5	All_Other	9713087.857
2018	5	Amazon	4804496.429
2018	6	Roku	3091757.143
2018	6	Amazon	5210815
2018	6	All_Other	10503131.43
2018	6	Web	19789891.43
2018	6	iOS	39795352.86
2018	6	Android	29977658.57
2018	7	Android	31449034.29
2018	7	Roku	3223504.286
2018	7	Amazon	5597802.857
2018	7	All_Other	11302860
2018	7	iOS	41206492.14
2018	7	Web	21227887.86
2018	8	Roku	3326949.286
2018	8	Web	23054346.43
2018	8	iOS	42492617.14
2018	8	Android	32807432.14
2018	8	Amazon	5945954.286
2018	8	All_Other	12055885
2018	9	Android	34044165.71
2018	9	Amazon	6241621.429
2018	9	All_Other	12739025.71
2018	9	iOS	43607285.71
2018	9	Web	24890802.86
2018	9	Roku	3412277.143
2018	10	All_Other	13563520.71
2018	10	iOS	44606761.43
2018	10	Android	35106372.86
2018	10	Amazon	6514917.143
2018	10	Roku	3487232.857
2018	10	Web	26712956.43
2018	11	iOS	45607077.86
2018	11	Web	28818435.71
2018	11	Amazon	6936145
2018	11	Roku	3721956.429
2018	11	All_Other	14502754.29
2018	11	Android	36120575
2018	12	Amazon	7584177.143
2018	12	All_Other	15635982.14
2018	12	Roku	4325827.857
2018	12	iOS	46812153.57
2018	12	Web	30855422.86
2018	12	Android	37315908.57
2019	1	Amazon	9061960.157
2019	1	Android	43653577.84
2019	1	iOS	54404543.27
2019	1	All_Other	18547000.37
2019	1	Roku	5266924.586
2019	1	Web	36877048.16
2019	2	iOS	55277657.06
2019	2	Amazon	9352838.486
2019	2	Roku	5449910.057
2019	2	Web	38393126.83
2019	2	All_Other	19194501.64
2019	2	Android	44637168.21
2019	3	All_Other	19876096.24
2019	3	Android	45797196.39
2019	3	Web	39958630.2
2019	3	iOS	56263123.54
2019	3	Amazon	9663072.386
2019	3	Roku	5611457.829
2019	4	Android	46785639.09
2019	4	Amazon	9919072.414
2019	4	Web	41144497.29
2019	4	All_Other	20442941.7
2019	4	iOS	57107520.73
2019	4	Roku	5730947.743
2019	5	Roku	5840673.557
2019	5	All_Other	21068712.13
2019	5	iOS	57939554.61
2019	5	Web	42347388.64
2019	5	Amazon	10176767.79
2019	5	Android	47764961.79
2019	6	Roku	5942989.371
2019	6	Amazon	10422805.03
2019	6	Android	48780108.17
2019	6	iOS	58774925.44
2019	6	Web	43344945.64
2019	6	All_Other	21680291.19
2019	7	Web	44288287.5
2019	7	Roku	6084144.986
2019	7	Android	49819982.79
2019	7	Amazon	10677307.59
2019	7	All_Other	22283181
2019	7	iOS	59632576.76
2019	8	Amazon	10915802.1
2019	8	iOS	60440394.6
2019	8	Android	50850192.64
2019	8	Roku	6187863.814
2019	8	All_Other	22973456.7
2019	8	Web	45404060.06
2019	9	iOS	61176172.59
2019	9	Roku	6269566.8
2019	9	Android	51786753.94
2019	9	All_Other	23597018.79
2019	9	Web	46532134.03
2019	9	Amazon	11122205.61
2019	10	All_Other	24185792.14
2019	10	Roku	6366470.871
2019	10	Web	47657125.11
2019	10	Android	52694513.96
2019	10	iOS	61966024.84
2019	10	Amazon	11320419.04
2019	11	Web	48653454.17
2019	11	Roku	6492695.743
2019	11	iOS	62759215.67
2019	11	Amazon	11690081.14
2019	11	Android	53565427.54
2019	11	All_Other	24927126
2019	12	All_Other	26174006.7
2019	12	iOS	63684707.57
2019	12	Web	49731364.89
2019	12	Android	54553524.99
2019	12	Amazon	12221315.44
2019	12	Roku	6825924.257
2020	1	Roku	7741513.8
2020	1	Android	61215882.3
2020	1	Amazon	13856410.8
2020	1	Web	56013301.8
2020	1	All_Other	29579591.7
2020	1	iOS	71175193.2
2020	2	Web	56959612.2
2020	2	iOS	71885404.8
2020	2	Android	62035439.4
2020	2	Roku	7862539.5
2020	2	Amazon	14124301.2
2020	2	All_Other	30193071.3
2020	3	Amazon	14445810.9
