day	platform	listeners
1/1/18	Android	4855067.143
1/1/18	Roku	460272.1429
1/1/18	All_Other	898116.4286
1/1/18	Web	481056.4286
1/1/18	Amazon	410797.1429
1/1/18	iOS	8152497.143
1/2/18	Android	5605349.286
1/2/18	All_Other	888979.2857
1/2/18	iOS	9179312.857
1/2/18	Amazon	368706.4286
1/2/18	Web	1431561.429
1/2/18	Roku	440950
1/3/18	All_Other	883975
1/3/18	Android	5744763.571
1/3/18	iOS	9226905.714
1/3/18	Amazon	357832.8571
1/3/18	Roku	434482.8571
1/3/18	Web	1600065.714
1/4/18	iOS	9090992.857
1/4/18	Amazon	374059.2857
1/4/18	Web	1549537.857
1/4/18	Roku	448475.7143
1/4/18	All_Other	913991.4286
1/4/18	Android	5728448.571
1/5/18	All_Other	986970
1/5/18	Web	1541387.143
1/5/18	Amazon	400337.8571
1/5/18	Android	6024310.714
1/5/18	iOS	9516616.429
1/5/18	Roku	469785
1/6/18	Roku	532105.7143
1/6/18	iOS	9144659.286
1/6/18	All_Other	1069665.714
1/6/18	Amazon	467985.7143
1/6/18	Android	5688652.857
1/6/18	Web	610647.1429
1/7/18	iOS	8372526.429
1/7/18	All_Other	950848.5714
1/7/18	Android	5162900.714
1/7/18	Web	540036.4286
1/7/18	Amazon	424552.1429
1/7/18	Roku	493636.4286
1/8/18	iOS	9309829.286
1/8/18	Web	1697870.714
1/8/18	Roku	436114.2857
1/8/18	All_Other	899764.2857
1/8/18	Amazon	354068.5714
1/8/18	Android	5872401.429
1/9/18	Android	6042437.857
1/9/18	All_Other	906487.8571
1/9/18	Roku	415836.4286
1/9/18	iOS	9507422.143
1/9/18	Amazon	346596.4286
1/9/18	Web	1810265
1/10/18	Android	6164079.286
1/10/18	Web	1846217.143
1/10/18	All_Other	919515.7143
1/10/18	Amazon	348208.5714
1/10/18	Roku	427048.5714
1/10/18	iOS	9670864.286
1/11/18	Web	1843982.857
1/11/18	Android	6237755
1/11/18	Roku	431022.8571
1/11/18	All_Other	937076.4286
1/11/18	iOS	9758267.857
1/11/18	Amazon	355640
1/12/18	Android	6337004.286
1/12/18	Web	1722756.429
1/12/18	Roku	453676.4286
1/12/18	Amazon	398688.5714
1/12/18	All_Other	1017229.286
1/12/18	iOS	9882461.429
1/13/18	Amazon	472107.1429
1/13/18	Roku	508846.4286
1/13/18	Web	621190
1/13/18	Android	5836318.571
1/13/18	All_Other	1093562.857
1/13/18	iOS	9346157.857
1/14/18	All_Other	967698.5714
1/14/18	Android	5253098.571
1/14/18	Web	535141.4286
1/14/18	Amazon	427513.5714
1/14/18	iOS	8507206.429
1/14/18	Roku	462395
1/15/18	iOS	9183055
1/15/18	Android	5695088.571
1/15/18	Roku	452861.4286
1/15/18	All_Other	976244.2857
1/15/18	Amazon	401427.1429
1/15/18	Web	1233485.714
1/16/18	All_Other	913135
1/16/18	Web	1707664.286
1/16/18	Android	5941852.857
1/16/18	Amazon	353157.8571
1/16/18	iOS	9332271.429
1/16/18	Roku	408752.1429
1/17/18	Web	1704511.429
1/17/18	All_Other	931783.5714
1/17/18	Roku	406340.7143
1/17/18	Android	5848224.286
1/17/18	iOS	9318128.571
1/17/18	Amazon	360902.8571
1/18/18	Web	1792843.571
1/18/18	All_Other	933973.5714
1/18/18	Roku	399296.4286
1/18/18	iOS	9669903.571
1/18/18	Amazon	353601.4286
1/18/18	Android	6057412.857
1/19/18	Roku	423838.5714
1/19/18	Android	6372195.714
1/19/18	iOS	10074835
1/19/18	Web	1751850.714
1/19/18	All_Other	1013364.286
1/19/18	Amazon	388432.8571
1/20/18	Roku	492263.5714
1/20/18	Web	657195.7143
1/20/18	Amazon	474723.5714
1/20/18	All_Other	1123120
1/20/18	iOS	9761426.429
1/20/18	Android	6069340
1/21/18	Roku	442663.5714
1/21/18	Web	583821.4286
1/21/18	All_Other	962798.5714
1/21/18	Amazon	413699.2857
1/21/18	Android	5399528.571
1/21/18	iOS	8760245
1/22/18	Android	6041637.143
1/22/18	Web	1787672.857
1/22/18	Roku	393507.8571
1/22/18	All_Other	918787.8571
1/22/18	Amazon	343427.8571
1/22/18	iOS	9639371.429
1/23/18	Android	6178099.286
1/23/18	All_Other	932622.8571
1/23/18	Web	1865330.714
1/23/18	iOS	9825227.857
1/23/18	Amazon	341610
1/23/18	Roku	395650.7143
1/24/18	iOS	10014647.14
1/24/18	Web	1882355.714
1/24/18	All_Other	937167.8571
1/24/18	Android	6321601.429
1/24/18	Roku	398412.8571
1/24/18	Amazon	343857.1429
1/25/18	All_Other	951370
1/25/18	Amazon	347590.7143
1/25/18	Android	6403042.857
1/25/18	Roku	386647.8571
1/25/18	Web	1886710.714
1/25/18	iOS	10053918.57
1/26/18	Amazon	386131.4286
1/26/18	Web	1785572.143
1/26/18	iOS	10230160
1/26/18	Android	6514817.143
1/26/18	Roku	402820.7143
1/26/18	All_Other	1030992.857
1/27/18	Android	6088477.143
1/27/18	All_Other	1139001.429
1/27/18	Roku	483710
1/27/18	Web	663120
1/27/18	Amazon	468799.2857
1/27/18	iOS	9773887.143
1/28/18	iOS	8936448.571
1/28/18	Android	5485817.857
1/28/18	Web	617851.4286
1/28/18	Amazon	426065
1/28/18	All_Other	1027444.286
1/28/18	Roku	452494.2857
1/29/18	Roku	388672.1429
1/29/18	Web	1831172.143
1/29/18	All_Other	924141.4286
1/29/18	iOS	9708213.571
1/29/18	Amazon	335348.5714
1/29/18	Android	6042881.429
1/30/18	Web	1873395
1/30/18	iOS	9807679.286
1/30/18	Android	6131803.571
1/30/18	Roku	387757.1429
1/30/18	All_Other	923295
1/30/18	Amazon	331587.1429
1/31/18	Android	6223246.429
1/31/18	Roku	390294.2857
1/31/18	iOS	10001914.29
1/31/18	Web	1888393.571
1/31/18	All_Other	939717.8571
1/31/18	Amazon	332776.4286
2/1/18	Web	1893437.857
2/1/18	Roku	392759.2857
2/1/18	iOS	9999007.857
2/1/18	Amazon	341043.5714
2/1/18	All_Other	954559.2857
2/1/18	Android	6327663.571
2/2/18	Roku	398060.7143
2/2/18	Android	6519555
2/2/18	All_Other	1030085.714
2/2/18	Web	1780269.286
2/2/18	iOS	10195931.43
2/2/18	Amazon	381735
2/3/18	Roku	462119.2857
2/3/18	Web	662245.7143
2/3/18	Amazon	468361.4286
2/3/18	All_Other	1145285.714
2/3/18	Android	6024631.429
2/3/18	iOS	9677369.286
2/4/18	iOS	8628557.143
2/4/18	Web	557866.4286
2/4/18	Android	5347676.429
2/4/18	Amazon	413385.7143
2/4/18	Roku	422253.5714
2/4/18	All_Other	992512.8571
2/5/18	All_Other	898753.5714
2/5/18	Web	1753061.429
2/5/18	Roku	358485
2/5/18	Android	5878841.429
2/5/18	Amazon	326677.8571
2/5/18	iOS	9440955.714
2/6/18	Roku	366935
