day	platform	seconds
1/1/18	Amazon	2976045129
1/1/18	iOS	34255590249
1/1/18	Web	3401844348
1/1/18	Android	25027115589
1/1/18	All_Other	11835696339
1/1/18	Roku	3442119149
1/2/18	Android	33670272866
1/2/18	Amazon	2709453429
1/2/18	All_Other	12941870364
1/2/18	Roku	3447806832
1/2/18	Web	15819071169
1/2/18	iOS	45082757679
1/3/18	Android	35609505279
1/3/18	iOS	46599649671
1/3/18	Roku	3411781527
1/3/18	All_Other	12596274791
1/3/18	Amazon	2617100393
1/3/18	Web	17348890874
1/4/18	All_Other	13247488976
1/4/18	Android	35679050473
1/4/18	iOS	46189357339
1/4/18	Roku	3578714305
1/4/18	Amazon	2762778994
1/4/18	Web	16378593462
1/5/18	Roku	3722864971
1/5/18	Android	38083230938
1/5/18	Web	15994105529
1/5/18	All_Other	14238863229
1/5/18	iOS	48906140450
1/5/18	Amazon	2996272012
1/6/18	Amazon	3573344641
1/6/18	All_Other	14811084363
1/6/18	Android	34012010908
1/6/18	Web	5131173647
1/6/18	iOS	45137987472
1/6/18	Roku	4249149186
1/7/18	All_Other	12579949327
1/7/18	Android	28409156556
1/7/18	Web	3995287444
1/7/18	Roku	3773737775
1/7/18	Amazon	3081008871
1/7/18	iOS	38561751024
1/8/18	Android	35736765848
1/8/18	Roku	3443437399
1/8/18	All_Other	13016425674
1/8/18	Amazon	2562934911
1/8/18	iOS	46597177074
1/8/18	Web	17873185967
1/9/18	Amazon	2500250149
1/9/18	Roku	3390021954
1/9/18	Web	18882103308
1/9/18	All_Other	13293363874
1/9/18	iOS	48958567924
1/9/18	Android	37751287120
1/10/18	Roku	3458983630
1/10/18	iOS	50274516017
1/10/18	Android	39024657709
1/10/18	Amazon	2517758936
1/10/18	All_Other	13536497299
1/10/18	Web	19078655366
1/11/18	Android	39307142291
1/11/18	Roku	3493884284
1/11/18	Web	18864943876
1/11/18	iOS	50821135691
1/11/18	All_Other	13745786438
1/11/18	Amazon	2588266984
1/12/18	Android	39903598406
1/12/18	Web	16955747986
1/12/18	All_Other	14498615875
1/12/18	iOS	51389939546
1/12/18	Roku	3655069402
1/12/18	Amazon	2962052959
1/13/18	Roku	4101415807
1/13/18	iOS	46186013071
1/13/18	All_Other	14989317809
1/13/18	Android	34691156901
1/13/18	Web	5120856753
1/13/18	Amazon	3587647031
1/14/18	Android	28513152875
1/14/18	Web	3887785993
1/14/18	Amazon	3133569579
1/14/18	All_Other	12731335661
1/14/18	Roku	3552909554
1/14/18	iOS	38858016529
1/15/18	All_Other	13875267063
1/15/18	Android	34812836485
1/15/18	iOS	46433468709
1/15/18	Roku	3634065246
1/15/18	Web	13250828827
1/15/18	Amazon	2986682279
1/16/18	Amazon	2583204535
1/16/18	All_Other	13221183926
1/16/18	Web	17330556849
1/16/18	iOS	47466043415
1/16/18	Roku	3335507575
1/16/18	Android	35678429668
1/17/18	Android	36070950192
1/17/18	All_Other	13466948081
1/17/18	iOS	47824383533
1/17/18	Amazon	2650073359
1/17/18	Roku	3417055900
1/17/18	Web	17058479210
1/18/18	Amazon	2575895170
1/18/18	Roku	3386170070
1/18/18	Web	18003146229
1/18/18	iOS	50013693081
1/18/18	Android	37980835117
1/18/18	All_Other	13595024608
