Year	Month	Platform	Listeners
2018	9	Amazon	2116397.857
2018	7	All_Other	4896272.143
2018	1	Web	8149978.571
2018	11	iOS	26936762.86
2018	1	All_Other	5054553.571
2018	2	Amazon	2286847.857
2018	12	Roku	2587189.286
2018	6	Roku	1448700.714
2018	8	iOS	27687152.86
2018	7	Android	18600191.43
2018	2	All_Other	4841628.571
2018	1	iOS	27802882.86
2018	10	Web	6916189.286
2018	5	Android	19090927.86
2018	12	All_Other	5655852.143
2018	3	Amazon	2442047.857
2018	5	Amazon	2281324.286
2018	10	iOS	26871691.43
2018	12	Amazon	2910997.857
2018	6	All_Other	4839318.571
2018	6	Web	6183652.143
2018	5	All_Other	4936827.143
2018	3	Android	19199280.71
2018	1	Android	18729467.14
2018	11	Web	7170208.571
2018	11	Android	16812250
2018	2	Android	18366995
2018	4	Android	18597093.57
2018	9	iOS	27377128.57
2018	3	Roku	1732257.143
2018	12	Android	17069850.71
2018	1	Amazon	2472909.286
2018	4	All_Other	4978897.143
2018	5	Web	7347057.857
2018	11	Amazon	2426290.714
2018	7	Roku	1427389.286
2018	9	Android	17755851.43
2018	3	iOS	28538187.14
2018	10	All_Other	4787940.714
2018	9	Web	6799690
2018	6	Android	19076415
2018	8	All_Other	4835444.286
2018	10	Android	17166721.43
2018	8	Web	6666298.571
2018	5	iOS	28159790.71
2018	2	Roku	1723941.429
2018	11	All_Other	5164232.143
2018	8	Roku	1397557.143
2018	4	Roku	1686264.286
2018	2	Web	7732836.429
2018	11	Roku	1827599.286
2018	4	iOS	27951657.86
2018	9	All_Other	4716004.286
2018	10	Roku	1312798.571
2018	4	Amazon	2324032.143
2018	12	Web	7104265.714
2018	4	Web	7410340
2018	9	Roku	1339265
2018	1	Roku	2077890
2018	7	Web	5720237.143
2018	6	iOS	28429811.43
2018	6	Amazon	2265475.714
2018	2	iOS	27151217.86
2018	8	Android	18067539.29
2018	7	iOS	28271551.43
2018	5	Roku	1583394.286
2018	3	Web	7777465.714
2018	10	Amazon	2089741.429
2018	3	All_Other	5162359.286
2018	8	Amazon	2217321.429
2018	7	Amazon	2269827.143
2018	12	iOS	27759667.14
2019	12	All_Other	6271128.6
2019	3	Amazon	2778326.571
2019	9	Roku	2471298.514
2019	4	Web	6279532.029
2019	1	Web	7141953.429
2019	3	Web	6843787.243
2019	3	Android	18690659.91
2019	7	All_Other	5161818.214
2019	6	Amazon	2558034.6
2019	10	iOS	29075371.84
2019	12	Amazon	3129380.614
2019	8	Web	5529423.429
2019	5	Android	18058604.83
2019	7	iOS	30468955.07
2019	3	Roku	2831448.129
2019	8	iOS	30185322.26
2019	1	Android	18568306.97
2019	11	Web	5319103.2
2019	1	All_Other	5311080.043
2019	6	Android	17939889.3
2019	9	Web	5543680.757
2019	5	All_Other	5278590.043
2019	10	Amazon	2324524.329
2019	8	Android	17716445.23
2019	2	iOS	29406655.03
2019	5	iOS	30537425.91
2019	2	Roku	2752541.4
2019	11	iOS	28764739.76
2019	4	iOS	30177822.69
2019	2	Web	6777977.486
2019	9	All_Other	5081853.729
2019	7	Android	17890082.7
2019	2	All_Other	5091147.986
2019	3	All_Other	5354478.214
2019	10	Web	5604577.929
2019	5	Amazon	2630085.043
2019	11	Roku	2657261.829
2019	12	Android	17326323.39
2019	11	Amazon	2691414.6
2019	7	Roku	2573606.186
2019	6	Roku	2560259.229
2019	6	iOS	30483564.17
2019	7	Web	4906594.2
2019	12	iOS	29246374.29
2019	8	Amazon	2493176.743
2019	7	Amazon	2538271.886
2019	9	Amazon	2374400.143
2019	9	iOS	29434943.31
2019	6	Web	5247376.029
2019	1	iOS	30200880.81
2019	4	Android	18032752.89
2019	2	Android	18032095.76
2019	10	All_Other	4952190.129
2019	6	All_Other	5202492.6
2019	11	Android	16987175.83
2019	1	Amazon	2882766.043
2019	4	All_Other	5163600.686
2019	5	Web	6124593
2019	12	Roku	2958876.514
2019	2	Amazon	2677499.271
2019	4	Amazon	2630185.2
2019	5	Roku	2608354.2
2019	1	Roku	2833936.586
2019	12	Web	5503491.686
2019	10	Roku	2501634.729
2019	9	Android	17255374.67
2019	3	iOS	30356906.91
2019	10	Android	17040259.93
2019	8	All_Other	5236060.714
2019	11	All_Other	5391947.571
2019	4	Roku	2753697.686
2019	8	Roku	2549091.3
2020	2	Web	5348993.4
2020	3	iOS	31276826.1
2020	10	Web	5390840.7
